sku,meta:_sku,post_title,post_status,post_type,Type: product_type,tax:product_type,tax:product_cat,tax:product_tag,regular_price,sale_price,meta:_price,manage_stock,stock_status,images,attribute:pa_style,attribute_default:pa_style,attribute_data:pa_style,attribute:pa_sex,attribute_default:pa_sex,attribute_data:pa_sex,attribute:pa_color,attribute_default:pa_color,attribute_data:pa_color,attribute:pa_size,attribute_default:pa_size,attribute_data:pa_size,attribute:pa_material,attribute_data:pa_material,attribute:pa_print,attribute_data:pa_print,attribute:pa_wash,attribute_data:pa_wash,attribute:pa_default_style,attribute_data:pa_default_style,meta:_wc_average_rating,meta:_wc_rating_count,meta:_wc_review_count,meta:_stock_status,post_content,post_excerpt
ART-0275-HD,ART-0275-HD,بیلی آیلیش ۹ (Billie Eilish),publish,product,product,variable,موزیک باز>ژانرهای موسیقی>پاپ,#پاپ|#بیلی_آیلیش|#Billie_Eilish,120000,,120000,no,instock,ART-0275-TS-color1.jpg|ART-0275-TS-color1-men.jpg|ART-0275-TS-color1-women.jpg|ART-0275-TS-color2.jpg|ART-0275-TS-color2-men.jpg|ART-0275-TS-color2-women.jpg|ART-0275-TS-color3.jpg|ART-0275-TS-color3-men.jpg|ART-0275-TS-color3-women.jpg|ART-0275-TS-color4.jpg|ART-0275-TS-color4-men.jpg|ART-0275-TS-color4-women.jpg|ART-0275-TS-color5.jpg|ART-0275-TS-color5-men.jpg|ART-0275-TS-color5-women.jpg|ART-0275-TS-color6.jpg|ART-0275-TS-color6-men.jpg|ART-0275-TS-color6-women.jpg|ART-0275-TS-color7.jpg|ART-0275-TS-color7-men.jpg|ART-0275-TS-color7-women.jpg|ART-0275-HD-color8.jpg|ART-0275-HD-color8-men.jpg|ART-0275-HD-color8-women.jpg|ART-0275-HD-color2.jpg|ART-0275-HD-color2-men.jpg|ART-0275-HD-color2-women.jpg|ART-0275-HD-color5.jpg|ART-0275-HD-color5-men.jpg|ART-0275-HD-color5-women.jpg|ART-0275-HD-color9.jpg|ART-0275-HD-color9-men.jpg|ART-0275-HD-color9-women.jpg|ART-0275-HD-color10.jpg|ART-0275-HD-color10-men.jpg|ART-0275-HD-color10-women.jpg,تیشرت|هودی,هودی,1|1|1,خانم‌ها|آقایان,خانم‌ها,2|1|1,|ملانژ|مشکی|زرشکی|نارنجی|سرمه‌ایسفید|خاکستری|آبی|زرد|سبز خاکی,مشکی,3|1|1,M|L|XL|2XL|3XL,L,4|1|1,۱۰۰ درصد نخ پنبه,5|1|0,چاپ دیجیتال با دوام جوهرافشان با استفاده از تکنولوژی مدرن DTG,6|1|0,جهت شست و شو لباس را پشت و رو کرده و با آب زیر ۴۰ درجه بشویید، ترجیحا از پودر صابون جهت شست‌ و شو استفاده کنید,7|1|0,هودی,8|1|0,4.5,10,10,instock,<img src='https://artshirt.ir/wp-content/uploads/sizechart/TS-Size-Chart.jpg' style='display: block;margin-left: auto;margin-right: auto;'/>,<ul><li><span style='font-size: 12px; color: #808080;'>جنس ۱۰۰ درصد نخ پنبه</span></li><li><span style='font-size: 12px; color: #808080;'>چاپ دیجیتال با دوام با استفاده از تکنولوژی مدرن DTG</span></li></ul>
ART-0276-HD,ART-0276-HD,بیلی آیلیش ۱۰ (Billie Eilish),publish,product,product,variable,موزیک باز>ژانرهای موسیقی>پاپ,#پاپ|#بیلی_آیلیش|#Billie_Eilish,120000,,120000,no,instock,ART-0276-TS-color1.jpg|ART-0276-TS-color1-men.jpg|ART-0276-TS-color1-women.jpg|ART-0276-TS-color2.jpg|ART-0276-TS-color2-men.jpg|ART-0276-TS-color2-women.jpg|ART-0276-TS-color3.jpg|ART-0276-TS-color3-men.jpg|ART-0276-TS-color3-women.jpg|ART-0276-TS-color4.jpg|ART-0276-TS-color4-men.jpg|ART-0276-TS-color4-women.jpg|ART-0276-TS-color5.jpg|ART-0276-TS-color5-men.jpg|ART-0276-TS-color5-women.jpg|ART-0276-TS-color6.jpg|ART-0276-TS-color6-men.jpg|ART-0276-TS-color6-women.jpg|ART-0276-TS-color7.jpg|ART-0276-TS-color7-men.jpg|ART-0276-TS-color7-women.jpg|ART-0276-HD-color8.jpg|ART-0276-HD-color8-men.jpg|ART-0276-HD-color8-women.jpg|ART-0276-HD-color2.jpg|ART-0276-HD-color2-men.jpg|ART-0276-HD-color2-women.jpg|ART-0276-HD-color5.jpg|ART-0276-HD-color5-men.jpg|ART-0276-HD-color5-women.jpg|ART-0276-HD-color9.jpg|ART-0276-HD-color9-men.jpg|ART-0276-HD-color9-women.jpg|ART-0276-HD-color10.jpg|ART-0276-HD-color10-men.jpg|ART-0276-HD-color10-women.jpg,تیشرت|هودی,هودی,1|1|1,خانم‌ها|آقایان,آقایان,2|1|1,|ملانژ|مشکی|زرشکی|نارنجی|سرمه‌ایسفید|خاکستری|آبی|زرد|سبز خاکی,ملانژ,3|1|1,M|L|XL|2XL|3XL,L,4|1|1,۱۰۰ درصد نخ پنبه,5|1|0,چاپ دیجیتال با دوام جوهرافشان با استفاده از تکنولوژی مدرن DTG,6|1|0,جهت شست و شو لباس را پشت و رو کرده و با آب زیر ۴۰ درجه بشویید، ترجیحا از پودر صابون جهت شست‌ و شو استفاده کنید,7|1|0,هودی,8|1|0,4.2,4,4,instock,<img src='https://artshirt.ir/wp-content/uploads/sizechart/TS-Size-Chart.jpg' style='display: block;margin-left: auto;margin-right: auto;'/>,<ul><li><span style='font-size: 12px; color: #808080;'>جنس ۱۰۰ درصد نخ پنبه</span></li><li><span style='font-size: 12px; color: #808080;'>چاپ دیجیتال با دوام با استفاده از تکنولوژی مدرن DTG</span></li></ul>
ART-0277-HD,ART-0277-HD,بیلی آیلیش ۱۱ (Billie Eilish),publish,product,product,variable,موزیک باز>ژانرهای موسیقی>پاپ,#پاپ|#بیلی_آیلیش|#Billie_Eilish,120000,,120000,no,instock,ART-0277-TS-color1.jpg|ART-0277-TS-color1-men.jpg|ART-0277-TS-color1-women.jpg|ART-0277-TS-color2.jpg|ART-0277-TS-color2-men.jpg|ART-0277-TS-color2-women.jpg|ART-0277-TS-color3.jpg|ART-0277-TS-color3-men.jpg|ART-0277-TS-color3-women.jpg|ART-0277-TS-color4.jpg|ART-0277-TS-color4-men.jpg|ART-0277-TS-color4-women.jpg|ART-0277-TS-color5.jpg|ART-0277-TS-color5-men.jpg|ART-0277-TS-color5-women.jpg|ART-0277-TS-color6.jpg|ART-0277-TS-color6-men.jpg|ART-0277-TS-color6-women.jpg|ART-0277-TS-color7.jpg|ART-0277-TS-color7-men.jpg|ART-0277-TS-color7-women.jpg|ART-0277-HD-color8.jpg|ART-0277-HD-color8-men.jpg|ART-0277-HD-color8-women.jpg|ART-0277-HD-color2.jpg|ART-0277-HD-color2-men.jpg|ART-0277-HD-color2-women.jpg|ART-0277-HD-color5.jpg|ART-0277-HD-color5-men.jpg|ART-0277-HD-color5-women.jpg|ART-0277-HD-color9.jpg|ART-0277-HD-color9-men.jpg|ART-0277-HD-color9-women.jpg|ART-0277-HD-color10.jpg|ART-0277-HD-color10-men.jpg|ART-0277-HD-color10-women.jpg,تیشرت|هودی,هودی,1|1|1,خانم‌ها|آقایان,خانم‌ها,2|1|1,|ملانژ|مشکی|زرشکی|نارنجی|سرمه‌ایسفید|خاکستری|آبی|زرد|سبز خاکی,ملانژ,3|1|1,M|L|XL|2XL|3XL,L,4|1|1,۱۰۰ درصد نخ پنبه,5|1|0,چاپ دیجیتال با دوام جوهرافشان با استفاده از تکنولوژی مدرن DTG,6|1|0,جهت شست و شو لباس را پشت و رو کرده و با آب زیر ۴۰ درجه بشویید، ترجیحا از پودر صابون جهت شست‌ و شو استفاده کنید,7|1|0,هودی,8|1|0,4.4,3,3,instock,<img src='https://artshirt.ir/wp-content/uploads/sizechart/TS-Size-Chart.jpg' style='display: block;margin-left: auto;margin-right: auto;'/>,<ul><li><span style='font-size: 12px; color: #808080;'>جنس ۱۰۰ درصد نخ پنبه</span></li><li><span style='font-size: 12px; color: #808080;'>چاپ دیجیتال با دوام با استفاده از تکنولوژی مدرن DTG</span></li></ul>
ART-0278-HD,ART-0278-HD,بیلی آیلیش ۱۲ (Billie Eilish),publish,product,product,variable,موزیک باز>ژانرهای موسیقی>پاپ,#پاپ|#بیلی_آیلیش|#Billie_Eilish,120000,,120000,no,instock,ART-0278-TS-color1.jpg|ART-0278-TS-color1-men.jpg|ART-0278-TS-color1-women.jpg|ART-0278-TS-color2.jpg|ART-0278-TS-color2-men.jpg|ART-0278-TS-color2-women.jpg|ART-0278-TS-color3.jpg|ART-0278-TS-color3-men.jpg|ART-0278-TS-color3-women.jpg|ART-0278-TS-color4.jpg|ART-0278-TS-color4-men.jpg|ART-0278-TS-color4-women.jpg|ART-0278-TS-color5.jpg|ART-0278-TS-color5-men.jpg|ART-0278-TS-color5-women.jpg|ART-0278-TS-color6.jpg|ART-0278-TS-color6-men.jpg|ART-0278-TS-color6-women.jpg|ART-0278-TS-color7.jpg|ART-0278-TS-color7-men.jpg|ART-0278-TS-color7-women.jpg|ART-0278-HD-color8.jpg|ART-0278-HD-color8-men.jpg|ART-0278-HD-color8-women.jpg|ART-0278-HD-color2.jpg|ART-0278-HD-color2-men.jpg|ART-0278-HD-color2-women.jpg|ART-0278-HD-color5.jpg|ART-0278-HD-color5-men.jpg|ART-0278-HD-color5-women.jpg|ART-0278-HD-color9.jpg|ART-0278-HD-color9-men.jpg|ART-0278-HD-color9-women.jpg|ART-0278-HD-color10.jpg|ART-0278-HD-color10-men.jpg|ART-0278-HD-color10-women.jpg,تیشرت|هودی,هودی,1|1|1,خانم‌ها|آقایان,خانم‌ها,2|1|1,|ملانژ|مشکی|زرشکی|نارنجی|سرمه‌ایسفید|خاکستری|آبی|زرد|سبز خاکی,ملانژ,3|1|1,M|L|XL|2XL|3XL,L,4|1|1,۱۰۰ درصد نخ پنبه,5|1|0,چاپ دیجیتال با دوام جوهرافشان با استفاده از تکنولوژی مدرن DTG,6|1|0,جهت شست و شو لباس را پشت و رو کرده و با آب زیر ۴۰ درجه بشویید، ترجیحا از پودر صابون جهت شست‌ و شو استفاده کنید,7|1|0,هودی,8|1|0,4.5,2,2,instock,<img src='https://artshirt.ir/wp-content/uploads/sizechart/TS-Size-Chart.jpg' style='display: block;margin-left: auto;margin-right: auto;'/>,<ul><li><span style='font-size: 12px; color: #808080;'>جنس ۱۰۰ درصد نخ پنبه</span></li><li><span style='font-size: 12px; color: #808080;'>چاپ دیجیتال با دوام با استفاده از تکنولوژی مدرن DTG</span></li></ul>
ART-0279-HD,ART-0279-HD,بُن جووی ۱ (Bon Jovi),publish,product,product,variable,موزیک باز>ژانرهای موسیقی>پاپ,#پاپ|#بُن_جووی|#Bon_Jovi,120000,,120000,no,instock,ART-0279-TS-color1.jpg|ART-0279-TS-color1-men.jpg|ART-0279-TS-color1-women.jpg|ART-0279-TS-color2.jpg|ART-0279-TS-color2-men.jpg|ART-0279-TS-color2-women.jpg|ART-0279-TS-color3.jpg|ART-0279-TS-color3-men.jpg|ART-0279-TS-color3-women.jpg|ART-0279-TS-color4.jpg|ART-0279-TS-color4-men.jpg|ART-0279-TS-color4-women.jpg|ART-0279-TS-color5.jpg|ART-0279-TS-color5-men.jpg|ART-0279-TS-color5-women.jpg|ART-0279-TS-color6.jpg|ART-0279-TS-color6-men.jpg|ART-0279-TS-color6-women.jpg|ART-0279-TS-color7.jpg|ART-0279-TS-color7-men.jpg|ART-0279-TS-color7-women.jpg|ART-0279-HD-color8.jpg|ART-0279-HD-color8-men.jpg|ART-0279-HD-color8-women.jpg|ART-0279-HD-color2.jpg|ART-0279-HD-color2-men.jpg|ART-0279-HD-color2-women.jpg|ART-0279-HD-color5.jpg|ART-0279-HD-color5-men.jpg|ART-0279-HD-color5-women.jpg|ART-0279-HD-color9.jpg|ART-0279-HD-color9-men.jpg|ART-0279-HD-color9-women.jpg|ART-0279-HD-color10.jpg|ART-0279-HD-color10-men.jpg|ART-0279-HD-color10-women.jpg,تیشرت|هودی,هودی,1|1|1,خانم‌ها|آقایان,آقایان,2|1|1,|ملانژ|مشکی|زرشکی|نارنجی|سرمه‌ایسفید|خاکستری|آبی|زرد|سبز خاکی,مشکی,3|1|1,M|L|XL|2XL|3XL,L,4|1|1,۱۰۰ درصد نخ پنبه,5|1|0,چاپ دیجیتال با دوام جوهرافشان با استفاده از تکنولوژی مدرن DTG,6|1|0,جهت شست و شو لباس را پشت و رو کرده و با آب زیر ۴۰ درجه بشویید، ترجیحا از پودر صابون جهت شست‌ و شو استفاده کنید,7|1|0,هودی,8|1|0,4.2,4,4,instock,<img src='https://artshirt.ir/wp-content/uploads/sizechart/TS-Size-Chart.jpg' style='display: block;margin-left: auto;margin-right: auto;'/>,<ul><li><span style='font-size: 12px; color: #808080;'>جنس ۱۰۰ درصد نخ پنبه</span></li><li><span style='font-size: 12px; color: #808080;'>چاپ دیجیتال با دوام با استفاده از تکنولوژی مدرن DTG</span></li></ul>
ART-0280-HD,ART-0280-HD,بُن جووی ۲ (Bon Jovi),publish,product,product,variable,موزیک باز>ژانرهای موسیقی>پاپ,#پاپ|#بُن_جووی|#Bon_Jovi,120000,,120000,no,instock,ART-0280-TS-color1.jpg|ART-0280-TS-color1-men.jpg|ART-0280-TS-color1-women.jpg|ART-0280-TS-color2.jpg|ART-0280-TS-color2-men.jpg|ART-0280-TS-color2-women.jpg|ART-0280-TS-color3.jpg|ART-0280-TS-color3-men.jpg|ART-0280-TS-color3-women.jpg|ART-0280-TS-color4.jpg|ART-0280-TS-color4-men.jpg|ART-0280-TS-color4-women.jpg|ART-0280-TS-color5.jpg|ART-0280-TS-color5-men.jpg|ART-0280-TS-color5-women.jpg|ART-0280-TS-color6.jpg|ART-0280-TS-color6-men.jpg|ART-0280-TS-color6-women.jpg|ART-0280-TS-color7.jpg|ART-0280-TS-color7-men.jpg|ART-0280-TS-color7-women.jpg|ART-0280-HD-color8.jpg|ART-0280-HD-color8-men.jpg|ART-0280-HD-color8-women.jpg|ART-0280-HD-color2.jpg|ART-0280-HD-color2-men.jpg|ART-0280-HD-color2-women.jpg|ART-0280-HD-color5.jpg|ART-0280-HD-color5-men.jpg|ART-0280-HD-color5-women.jpg|ART-0280-HD-color9.jpg|ART-0280-HD-color9-men.jpg|ART-0280-HD-color9-women.jpg|ART-0280-HD-color10.jpg|ART-0280-HD-color10-men.jpg|ART-0280-HD-color10-women.jpg,تیشرت|هودی,هودی,1|1|1,خانم‌ها|آقایان,خانم‌ها,2|1|1,|ملانژ|مشکی|زرشکی|نارنجی|سرمه‌ایسفید|خاکستری|آبی|زرد|سبز خاکی,سرمه‌ای,3|1|1,M|L|XL|2XL|3XL,L,4|1|1,۱۰۰ درصد نخ پنبه,5|1|0,چاپ دیجیتال با دوام جوهرافشان با استفاده از تکنولوژی مدرن DTG,6|1|0,جهت شست و شو لباس را پشت و رو کرده و با آب زیر ۴۰ درجه بشویید، ترجیحا از پودر صابون جهت شست‌ و شو استفاده کنید,7|1|0,هودی,8|1|0,5.0,10,10,instock,<img src='https://artshirt.ir/wp-content/uploads/sizechart/TS-Size-Chart.jpg' style='display: block;margin-left: auto;margin-right: auto;'/>,<ul><li><span style='font-size: 12px; color: #808080;'>جنس ۱۰۰ درصد نخ پنبه</span></li><li><span style='font-size: 12px; color: #808080;'>چاپ دیجیتال با دوام با استفاده از تکنولوژی مدرن DTG</span></li></ul>
ART-0281-HD,ART-0281-HD,کریس براون ۱ (Chris Brown),publish,product,product,variable,موزیک باز>ژانرهای موسیقی>پاپ,#پاپ|#کریس_براون|#Chris_Brown,120000,,120000,no,instock,ART-0281-TS-color1.jpg|ART-0281-TS-color1-men.jpg|ART-0281-TS-color1-women.jpg|ART-0281-TS-color2.jpg|ART-0281-TS-color2-men.jpg|ART-0281-TS-color2-women.jpg|ART-0281-TS-color3.jpg|ART-0281-TS-color3-men.jpg|ART-0281-TS-color3-women.jpg|ART-0281-TS-color4.jpg|ART-0281-TS-color4-men.jpg|ART-0281-TS-color4-women.jpg|ART-0281-TS-color5.jpg|ART-0281-TS-color5-men.jpg|ART-0281-TS-color5-women.jpg|ART-0281-TS-color6.jpg|ART-0281-TS-color6-men.jpg|ART-0281-TS-color6-women.jpg|ART-0281-TS-color7.jpg|ART-0281-TS-color7-men.jpg|ART-0281-TS-color7-women.jpg|ART-0281-HD-color8.jpg|ART-0281-HD-color8-men.jpg|ART-0281-HD-color8-women.jpg|ART-0281-HD-color2.jpg|ART-0281-HD-color2-men.jpg|ART-0281-HD-color2-women.jpg|ART-0281-HD-color5.jpg|ART-0281-HD-color5-men.jpg|ART-0281-HD-color5-women.jpg|ART-0281-HD-color9.jpg|ART-0281-HD-color9-men.jpg|ART-0281-HD-color9-women.jpg|ART-0281-HD-color10.jpg|ART-0281-HD-color10-men.jpg|ART-0281-HD-color10-women.jpg,تیشرت|هودی,هودی,1|1|1,خانم‌ها|آقایان,خانم‌ها,2|1|1,|ملانژ|مشکی|زرشکی|نارنجی|سرمه‌ایسفید|خاکستری|آبی|زرد|سبز خاکی,سرمه‌ای,3|1|1,M|L|XL|2XL|3XL,L,4|1|1,۱۰۰ درصد نخ پنبه,5|1|0,چاپ دیجیتال با دوام جوهرافشان با استفاده از تکنولوژی مدرن DTG,6|1|0,جهت شست و شو لباس را پشت و رو کرده و با آب زیر ۴۰ درجه بشویید، ترجیحا از پودر صابون جهت شست‌ و شو استفاده کنید,7|1|0,هودی,8|1|0,4.8,4,4,instock,<img src='https://artshirt.ir/wp-content/uploads/sizechart/TS-Size-Chart.jpg' style='display: block;margin-left: auto;margin-right: auto;'/>,<ul><li><span style='font-size: 12px; color: #808080;'>جنس ۱۰۰ درصد نخ پنبه</span></li><li><span style='font-size: 12px; color: #808080;'>چاپ دیجیتال با دوام با استفاده از تکنولوژی مدرن DTG</span></li></ul>
ART-0282-HD,ART-0282-HD,کریس براون ۲ (Chris Brown),publish,product,product,variable,موزیک باز>ژانرهای موسیقی>پاپ,#پاپ|#کریس_براون|#Chris_Brown,120000,,120000,no,instock,ART-0282-TS-color1.jpg|ART-0282-TS-color1-men.jpg|ART-0282-TS-color1-women.jpg|ART-0282-TS-color2.jpg|ART-0282-TS-color2-men.jpg|ART-0282-TS-color2-women.jpg|ART-0282-TS-color3.jpg|ART-0282-TS-color3-men.jpg|ART-0282-TS-color3-women.jpg|ART-0282-TS-color4.jpg|ART-0282-TS-color4-men.jpg|ART-0282-TS-color4-women.jpg|ART-0282-TS-color5.jpg|ART-0282-TS-color5-men.jpg|ART-0282-TS-color5-women.jpg|ART-0282-TS-color6.jpg|ART-0282-TS-color6-men.jpg|ART-0282-TS-color6-women.jpg|ART-0282-TS-color7.jpg|ART-0282-TS-color7-men.jpg|ART-0282-TS-color7-women.jpg|ART-0282-HD-color8.jpg|ART-0282-HD-color8-men.jpg|ART-0282-HD-color8-women.jpg|ART-0282-HD-color2.jpg|ART-0282-HD-color2-men.jpg|ART-0282-HD-color2-women.jpg|ART-0282-HD-color5.jpg|ART-0282-HD-color5-men.jpg|ART-0282-HD-color5-women.jpg|ART-0282-HD-color9.jpg|ART-0282-HD-color9-men.jpg|ART-0282-HD-color9-women.jpg|ART-0282-HD-color10.jpg|ART-0282-HD-color10-men.jpg|ART-0282-HD-color10-women.jpg,تیشرت|هودی,هودی,1|1|1,خانم‌ها|آقایان,خانم‌ها,2|1|1,|ملانژ|مشکی|زرشکی|نارنجی|سرمه‌ایسفید|خاکستری|آبی|زرد|سبز خاکی,نارنجی,3|1|1,M|L|XL|2XL|3XL,L,4|1|1,۱۰۰ درصد نخ پنبه,5|1|0,چاپ دیجیتال با دوام جوهرافشان با استفاده از تکنولوژی مدرن DTG,6|1|0,جهت شست و شو لباس را پشت و رو کرده و با آب زیر ۴۰ درجه بشویید، ترجیحا از پودر صابون جهت شست‌ و شو استفاده کنید,7|1|0,هودی,8|1|0,4.7,10,10,instock,<img src='https://artshirt.ir/wp-content/uploads/sizechart/TS-Size-Chart.jpg' style='display: block;margin-left: auto;margin-right: auto;'/>,<ul><li><span style='font-size: 12px; color: #808080;'>جنس ۱۰۰ درصد نخ پنبه</span></li><li><span style='font-size: 12px; color: #808080;'>چاپ دیجیتال با دوام با استفاده از تکنولوژی مدرن DTG</span></li></ul>
ART-0283-HD,ART-0283-HD,کلد پلی ۱ (Coldplay),publish,product,product,variable,موزیک باز>ژانرهای موسیقی>پاپ,#پاپ|#کلد_پلی|#Coldplay,120000,,120000,no,instock,ART-0283-TS-color1.jpg|ART-0283-TS-color1-men.jpg|ART-0283-TS-color1-women.jpg|ART-0283-TS-color2.jpg|ART-0283-TS-color2-men.jpg|ART-0283-TS-color2-women.jpg|ART-0283-TS-color3.jpg|ART-0283-TS-color3-men.jpg|ART-0283-TS-color3-women.jpg|ART-0283-TS-color4.jpg|ART-0283-TS-color4-men.jpg|ART-0283-TS-color4-women.jpg|ART-0283-TS-color5.jpg|ART-0283-TS-color5-men.jpg|ART-0283-TS-color5-women.jpg|ART-0283-TS-color6.jpg|ART-0283-TS-color6-men.jpg|ART-0283-TS-color6-women.jpg|ART-0283-TS-color7.jpg|ART-0283-TS-color7-men.jpg|ART-0283-TS-color7-women.jpg|ART-0283-HD-color8.jpg|ART-0283-HD-color8-men.jpg|ART-0283-HD-color8-women.jpg|ART-0283-HD-color2.jpg|ART-0283-HD-color2-men.jpg|ART-0283-HD-color2-women.jpg|ART-0283-HD-color5.jpg|ART-0283-HD-color5-men.jpg|ART-0283-HD-color5-women.jpg|ART-0283-HD-color9.jpg|ART-0283-HD-color9-men.jpg|ART-0283-HD-color9-women.jpg|ART-0283-HD-color10.jpg|ART-0283-HD-color10-men.jpg|ART-0283-HD-color10-women.jpg,تیشرت|هودی,هودی,1|1|1,خانم‌ها|آقایان,خانم‌ها,2|1|1,|ملانژ|مشکی|زرشکی|نارنجی|سرمه‌ایسفید|خاکستری|آبی|زرد|سبز خاکی,زرشکی,3|1|1,M|L|XL|2XL|3XL,L,4|1|1,۱۰۰ درصد نخ پنبه,5|1|0,چاپ دیجیتال با دوام جوهرافشان با استفاده از تکنولوژی مدرن DTG,6|1|0,جهت شست و شو لباس را پشت و رو کرده و با آب زیر ۴۰ درجه بشویید، ترجیحا از پودر صابون جهت شست‌ و شو استفاده کنید,7|1|0,هودی,8|1|0,4.3,10,10,instock,<img src='https://artshirt.ir/wp-content/uploads/sizechart/TS-Size-Chart.jpg' style='display: block;margin-left: auto;margin-right: auto;'/>,<ul><li><span style='font-size: 12px; color: #808080;'>جنس ۱۰۰ درصد نخ پنبه</span></li><li><span style='font-size: 12px; color: #808080;'>چاپ دیجیتال با دوام با استفاده از تکنولوژی مدرن DTG</span></li></ul>
ART-0284-HD,ART-0284-HD,کلد پلی ۲ (Coldplay),publish,product,product,variable,موزیک باز>ژانرهای موسیقی>پاپ,#پاپ|#کلد_پلی|#Coldplay,120000,,120000,no,instock,ART-0284-TS-color1.jpg|ART-0284-TS-color1-men.jpg|ART-0284-TS-color1-women.jpg|ART-0284-TS-color2.jpg|ART-0284-TS-color2-men.jpg|ART-0284-TS-color2-women.jpg|ART-0284-TS-color3.jpg|ART-0284-TS-color3-men.jpg|ART-0284-TS-color3-women.jpg|ART-0284-TS-color4.jpg|ART-0284-TS-color4-men.jpg|ART-0284-TS-color4-women.jpg|ART-0284-TS-color5.jpg|ART-0284-TS-color5-men.jpg|ART-0284-TS-color5-women.jpg|ART-0284-TS-color6.jpg|ART-0284-TS-color6-men.jpg|ART-0284-TS-color6-women.jpg|ART-0284-TS-color7.jpg|ART-0284-TS-color7-men.jpg|ART-0284-TS-color7-women.jpg|ART-0284-HD-color8.jpg|ART-0284-HD-color8-men.jpg|ART-0284-HD-color8-women.jpg|ART-0284-HD-color2.jpg|ART-0284-HD-color2-men.jpg|ART-0284-HD-color2-women.jpg|ART-0284-HD-color5.jpg|ART-0284-HD-color5-men.jpg|ART-0284-HD-color5-women.jpg|ART-0284-HD-color9.jpg|ART-0284-HD-color9-men.jpg|ART-0284-HD-color9-women.jpg|ART-0284-HD-color10.jpg|ART-0284-HD-color10-men.jpg|ART-0284-HD-color10-women.jpg,تیشرت|هودی,هودی,1|1|1,خانم‌ها|آقایان,آقایان,2|1|1,|ملانژ|مشکی|زرشکی|نارنجی|سرمه‌ایسفید|خاکستری|آبی|زرد|سبز خاکی,ملانژ,3|1|1,M|L|XL|2XL|3XL,L,4|1|1,۱۰۰ درصد نخ پنبه,5|1|0,چاپ دیجیتال با دوام جوهرافشان با استفاده از تکنولوژی مدرن DTG,6|1|0,جهت شست و شو لباس را پشت و رو کرده و با آب زیر ۴۰ درجه بشویید، ترجیحا از پودر صابون جهت شست‌ و شو استفاده کنید,7|1|0,هودی,8|1|0,4.5,7,7,instock,<img src='https://artshirt.ir/wp-content/uploads/sizechart/TS-Size-Chart.jpg' style='display: block;margin-left: auto;margin-right: auto;'/>,<ul><li><span style='font-size: 12px; color: #808080;'>جنس ۱۰۰ درصد نخ پنبه</span></li><li><span style='font-size: 12px; color: #808080;'>چاپ دیجیتال با دوام با استفاده از تکنولوژی مدرن DTG</span></li></ul>
ART-0285-HD,ART-0285-HD,کلد پلی ۳ (Coldplay),publish,product,product,variable,موزیک باز>ژانرهای موسیقی>پاپ,#پاپ|#کلد_پلی|#Coldplay,120000,,120000,no,instock,ART-0285-TS-color1.jpg|ART-0285-TS-color1-men.jpg|ART-0285-TS-color1-women.jpg|ART-0285-TS-color2.jpg|ART-0285-TS-color2-men.jpg|ART-0285-TS-color2-women.jpg|ART-0285-TS-color3.jpg|ART-0285-TS-color3-men.jpg|ART-0285-TS-color3-women.jpg|ART-0285-TS-color4.jpg|ART-0285-TS-color4-men.jpg|ART-0285-TS-color4-women.jpg|ART-0285-TS-color5.jpg|ART-0285-TS-color5-men.jpg|ART-0285-TS-color5-women.jpg|ART-0285-TS-color6.jpg|ART-0285-TS-color6-men.jpg|ART-0285-TS-color6-women.jpg|ART-0285-TS-color7.jpg|ART-0285-TS-color7-men.jpg|ART-0285-TS-color7-women.jpg|ART-0285-HD-color8.jpg|ART-0285-HD-color8-men.jpg|ART-0285-HD-color8-women.jpg|ART-0285-HD-color2.jpg|ART-0285-HD-color2-men.jpg|ART-0285-HD-color2-women.jpg|ART-0285-HD-color5.jpg|ART-0285-HD-color5-men.jpg|ART-0285-HD-color5-women.jpg|ART-0285-HD-color9.jpg|ART-0285-HD-color9-men.jpg|ART-0285-HD-color9-women.jpg|ART-0285-HD-color10.jpg|ART-0285-HD-color10-men.jpg|ART-0285-HD-color10-women.jpg,تیشرت|هودی,هودی,1|1|1,خانم‌ها|آقایان,خانم‌ها,2|1|1,|ملانژ|مشکی|زرشکی|نارنجی|سرمه‌ایسفید|خاکستری|آبی|زرد|سبز خاکی,سرمه‌ای,3|1|1,M|L|XL|2XL|3XL,L,4|1|1,۱۰۰ درصد نخ پنبه,5|1|0,چاپ دیجیتال با دوام جوهرافشان با استفاده از تکنولوژی مدرن DTG,6|1|0,جهت شست و شو لباس را پشت و رو کرده و با آب زیر ۴۰ درجه بشویید، ترجیحا از پودر صابون جهت شست‌ و شو استفاده کنید,7|1|0,هودی,8|1|0,4.3,2,2,instock,<img src='https://artshirt.ir/wp-content/uploads/sizechart/TS-Size-Chart.jpg' style='display: block;margin-left: auto;margin-right: auto;'/>,<ul><li><span style='font-size: 12px; color: #808080;'>جنس ۱۰۰ درصد نخ پنبه</span></li><li><span style='font-size: 12px; color: #808080;'>چاپ دیجیتال با دوام با استفاده از تکنولوژی مدرن DTG</span></li></ul>
