sku,meta:_sku,post_title,post_status,post_type,Type: product_type,tax:product_type,tax:product_cat,tax:product_tag,regular_price,sale_price,meta:_price,manage_stock,stock_status,images,attribute:pa_style,attribute_default:pa_style,attribute_data:pa_style,attribute:pa_sex,attribute_default:pa_sex,attribute_data:pa_sex,attribute:pa_color,attribute_default:pa_color,attribute_data:pa_color,attribute:pa_size,attribute_default:pa_size,attribute_data:pa_size,attribute:pa_material,attribute_data:pa_material,attribute:pa_print,attribute_data:pa_print,attribute:pa_wash,attribute_data:pa_wash,attribute:pa_default_style,attribute_data:pa_default_style,meta:_wc_average_rating,meta:_wc_rating_count,meta:_wc_review_count,meta:_stock_status,post_content,post_excerpt
ART-0491-TS,ART-0491-TS,ایده سلاحی قدرتمند است,publish,product,product,variable,ایده و احساس>اندیشه,,120000,,120000,no,instock,ART-0491-TS-color1.jpg|ART-0491-TS-color1-men.jpg|ART-0491-TS-color1-women.jpg|ART-0491-TS-color2.jpg|ART-0491-TS-color2-men.jpg|ART-0491-TS-color2-women.jpg|ART-0491-TS-color3.jpg|ART-0491-TS-color3-men.jpg|ART-0491-TS-color3-women.jpg|ART-0491-TS-color4.jpg|ART-0491-TS-color4-men.jpg|ART-0491-TS-color4-women.jpg|ART-0491-TS-color5.jpg|ART-0491-TS-color5-men.jpg|ART-0491-TS-color5-women.jpg|ART-0491-TS-color6.jpg|ART-0491-TS-color6-men.jpg|ART-0491-TS-color6-women.jpg|ART-0491-TS-color7.jpg|ART-0491-TS-color7-men.jpg|ART-0491-TS-color7-women.jpg|ART-0491-HD-color8.jpg|ART-0491-HD-color8-men.jpg|ART-0491-HD-color8-women.jpg|ART-0491-HD-color2.jpg|ART-0491-HD-color2-men.jpg|ART-0491-HD-color2-women.jpg|ART-0491-HD-color5.jpg|ART-0491-HD-color5-men.jpg|ART-0491-HD-color5-women.jpg|ART-0491-HD-color9.jpg|ART-0491-HD-color9-men.jpg|ART-0491-HD-color9-women.jpg|ART-0491-HD-color10.jpg|ART-0491-HD-color10-men.jpg|ART-0491-HD-color10-women.jpg,تیشرت|هودی,تیشرت,1|1|1,خانم‌ها|آقایان,خانم‌ها,2|1|1,سفید|مشکی|خاکستری|آبی|زرشکی|زرد|سبز خاکی|ملانژ|نارنجی|سرمه‌ای,زرشکی,3|1|1,M|L|XL|2XL|3XL|M|L|XL,L,4|1|1,۱۰۰ درصد نخ پنبه,5|1|0,چاپ دیجیتال با دوام جوهرافشان با استفاده از تکنولوژی مدرن DTG,6|1|0,جهت شست و شو لباس را پشت و رو کرده و با آب زیر ۴۰ درجه بشویید، ترجیحا از پودر صابون جهت شست‌ و شو استفاده کنید,7|1|0,تیشرت,8|1|0,4.4,9,9,instock,<img src='https://artshirt.ir/wp-content/uploads/sizechart/TS-Size-Chart.jpg' style='display: block;margin-left: auto;margin-right: auto;'/>,<ul><li><span style='font-size: 12px; color: #808080;'>جنس  ۱۰۰ درصد نخ پنبه</span></li><li><span style='font-size: 12px; color: #808080;'>چاپ دیجیتال با دوام با استفاده از تکنولوژی مدرن DTG</span></li></ul>
ART-0492-TS,ART-0492-TS,سن‌ام رو حدس بزن,publish,product,product,variable,ایده و احساس>نوستالژی,,120000,,120000,no,instock,ART-0492-TS-color1.jpg|ART-0492-TS-color1-men.jpg|ART-0492-TS-color1-women.jpg|ART-0492-TS-color2.jpg|ART-0492-TS-color2-men.jpg|ART-0492-TS-color2-women.jpg|ART-0492-TS-color3.jpg|ART-0492-TS-color3-men.jpg|ART-0492-TS-color3-women.jpg|ART-0492-TS-color4.jpg|ART-0492-TS-color4-men.jpg|ART-0492-TS-color4-women.jpg|ART-0492-TS-color5.jpg|ART-0492-TS-color5-men.jpg|ART-0492-TS-color5-women.jpg|ART-0492-TS-color6.jpg|ART-0492-TS-color6-men.jpg|ART-0492-TS-color6-women.jpg|ART-0492-TS-color7.jpg|ART-0492-TS-color7-men.jpg|ART-0492-TS-color7-women.jpg|ART-0492-HD-color8.jpg|ART-0492-HD-color8-men.jpg|ART-0492-HD-color8-women.jpg|ART-0492-HD-color2.jpg|ART-0492-HD-color2-men.jpg|ART-0492-HD-color2-women.jpg|ART-0492-HD-color5.jpg|ART-0492-HD-color5-men.jpg|ART-0492-HD-color5-women.jpg|ART-0492-HD-color9.jpg|ART-0492-HD-color9-men.jpg|ART-0492-HD-color9-women.jpg|ART-0492-HD-color10.jpg|ART-0492-HD-color10-men.jpg|ART-0492-HD-color10-women.jpg,تیشرت|هودی,تیشرت,1|1|1,خانم‌ها|آقایان,آقایان,2|1|1,سفید|مشکی|خاکستری|آبی|زرشکی|زرد|سبز خاکی|ملانژ|نارنجی|سرمه‌ای,سفید,3|1|1,M|L|XL|2XL|3XL|M|L|XL,L,4|1|1,۱۰۰ درصد نخ پنبه,5|1|0,چاپ دیجیتال با دوام جوهرافشان با استفاده از تکنولوژی مدرن DTG,6|1|0,جهت شست و شو لباس را پشت و رو کرده و با آب زیر ۴۰ درجه بشویید، ترجیحا از پودر صابون جهت شست‌ و شو استفاده کنید,7|1|0,تیشرت,8|1|0,4.2,10,10,instock,<img src='https://artshirt.ir/wp-content/uploads/sizechart/TS-Size-Chart.jpg' style='display: block;margin-left: auto;margin-right: auto;'/>,<ul><li><span style='font-size: 12px; color: #808080;'>جنس  ۱۰۰ درصد نخ پنبه</span></li><li><span style='font-size: 12px; color: #808080;'>چاپ دیجیتال با دوام با استفاده از تکنولوژی مدرن DTG</span></li></ul>
ART-0494-TS,ART-0494-TS,دلیل اصلی حضور دولوپرها,publish,product,product,variable,کار و تحصیل>برنامه‌نویس,#فان|#تایپوگرافی,120000,,120000,no,instock,ART-0494-TS-color1.jpg|ART-0494-TS-color1-men.jpg|ART-0494-TS-color1-women.jpg|ART-0494-TS-color2.jpg|ART-0494-TS-color2-men.jpg|ART-0494-TS-color2-women.jpg|ART-0494-TS-color3.jpg|ART-0494-TS-color3-men.jpg|ART-0494-TS-color3-women.jpg|ART-0494-TS-color4.jpg|ART-0494-TS-color4-men.jpg|ART-0494-TS-color4-women.jpg|ART-0494-TS-color5.jpg|ART-0494-TS-color5-men.jpg|ART-0494-TS-color5-women.jpg|ART-0494-TS-color6.jpg|ART-0494-TS-color6-men.jpg|ART-0494-TS-color6-women.jpg|ART-0494-TS-color7.jpg|ART-0494-TS-color7-men.jpg|ART-0494-TS-color7-women.jpg|ART-0494-HD-color8.jpg|ART-0494-HD-color8-men.jpg|ART-0494-HD-color8-women.jpg|ART-0494-HD-color2.jpg|ART-0494-HD-color2-men.jpg|ART-0494-HD-color2-women.jpg|ART-0494-HD-color5.jpg|ART-0494-HD-color5-men.jpg|ART-0494-HD-color5-women.jpg|ART-0494-HD-color9.jpg|ART-0494-HD-color9-men.jpg|ART-0494-HD-color9-women.jpg|ART-0494-HD-color10.jpg|ART-0494-HD-color10-men.jpg|ART-0494-HD-color10-women.jpg,تیشرت|هودی,تیشرت,1|1|1,خانم‌ها|آقایان,خانم‌ها,2|1|1,سفید|مشکی|خاکستری|آبی|زرشکی|زرد|سبز خاکی|ملانژ|نارنجی|سرمه‌ای,زرشکی,3|1|1,M|L|XL|2XL|3XL|M|L|XL,L,4|1|1,۱۰۰ درصد نخ پنبه,5|1|0,چاپ دیجیتال با دوام جوهرافشان با استفاده از تکنولوژی مدرن DTG,6|1|0,جهت شست و شو لباس را پشت و رو کرده و با آب زیر ۴۰ درجه بشویید، ترجیحا از پودر صابون جهت شست‌ و شو استفاده کنید,7|1|0,تیشرت,8|1|0,4.0,10,10,instock,<img src='https://artshirt.ir/wp-content/uploads/sizechart/TS-Size-Chart.jpg' style='display: block;margin-left: auto;margin-right: auto;'/>,<ul><li><span style='font-size: 12px; color: #808080;'>جنس  ۱۰۰ درصد نخ پنبه</span></li><li><span style='font-size: 12px; color: #808080;'>چاپ دیجیتال با دوام با استفاده از تکنولوژی مدرن DTG</span></li></ul>
ART-0495-TS,ART-0495-TS,مرسی که هستی,publish,product,product,variable,کار و تحصیل>برنامه‌نویس,,120000,,120000,no,instock,ART-0495-TS-color1.jpg|ART-0495-TS-color1-men.jpg|ART-0495-TS-color1-women.jpg|ART-0495-TS-color2.jpg|ART-0495-TS-color2-men.jpg|ART-0495-TS-color2-women.jpg|ART-0495-TS-color3.jpg|ART-0495-TS-color3-men.jpg|ART-0495-TS-color3-women.jpg|ART-0495-TS-color4.jpg|ART-0495-TS-color4-men.jpg|ART-0495-TS-color4-women.jpg|ART-0495-TS-color5.jpg|ART-0495-TS-color5-men.jpg|ART-0495-TS-color5-women.jpg|ART-0495-TS-color6.jpg|ART-0495-TS-color6-men.jpg|ART-0495-TS-color6-women.jpg|ART-0495-TS-color7.jpg|ART-0495-TS-color7-men.jpg|ART-0495-TS-color7-women.jpg|ART-0495-HD-color8.jpg|ART-0495-HD-color8-men.jpg|ART-0495-HD-color8-women.jpg|ART-0495-HD-color2.jpg|ART-0495-HD-color2-men.jpg|ART-0495-HD-color2-women.jpg|ART-0495-HD-color5.jpg|ART-0495-HD-color5-men.jpg|ART-0495-HD-color5-women.jpg|ART-0495-HD-color9.jpg|ART-0495-HD-color9-men.jpg|ART-0495-HD-color9-women.jpg|ART-0495-HD-color10.jpg|ART-0495-HD-color10-men.jpg|ART-0495-HD-color10-women.jpg,تیشرت|هودی,تیشرت,1|1|1,خانم‌ها|آقایان,آقایان,2|1|1,سفید|مشکی|خاکستری|آبی|زرشکی|زرد|سبز خاکی|ملانژ|نارنجی|سرمه‌ای,زرد,3|1|1,M|L|XL|2XL|3XL|M|L|XL,L,4|1|1,۱۰۰ درصد نخ پنبه,5|1|0,چاپ دیجیتال با دوام جوهرافشان با استفاده از تکنولوژی مدرن DTG,6|1|0,جهت شست و شو لباس را پشت و رو کرده و با آب زیر ۴۰ درجه بشویید، ترجیحا از پودر صابون جهت شست‌ و شو استفاده کنید,7|1|0,تیشرت,8|1|0,4.4,7,7,instock,<img src='https://artshirt.ir/wp-content/uploads/sizechart/TS-Size-Chart.jpg' style='display: block;margin-left: auto;margin-right: auto;'/>,<ul><li><span style='font-size: 12px; color: #808080;'>جنس  ۱۰۰ درصد نخ پنبه</span></li><li><span style='font-size: 12px; color: #808080;'>چاپ دیجیتال با دوام با استفاده از تکنولوژی مدرن DTG</span></li></ul>
ART-0496-TS,ART-0496-TS,Ninja CSS,publish,product,product,variable,کار و تحصیل>برنامه‌نویس,#کد,120000,,120000,no,instock,ART-0496-TS-color1.jpg|ART-0496-TS-color1-men.jpg|ART-0496-TS-color1-women.jpg|ART-0496-TS-color2.jpg|ART-0496-TS-color2-men.jpg|ART-0496-TS-color2-women.jpg|ART-0496-TS-color3.jpg|ART-0496-TS-color3-men.jpg|ART-0496-TS-color3-women.jpg|ART-0496-TS-color4.jpg|ART-0496-TS-color4-men.jpg|ART-0496-TS-color4-women.jpg|ART-0496-TS-color5.jpg|ART-0496-TS-color5-men.jpg|ART-0496-TS-color5-women.jpg|ART-0496-TS-color6.jpg|ART-0496-TS-color6-men.jpg|ART-0496-TS-color6-women.jpg|ART-0496-TS-color7.jpg|ART-0496-TS-color7-men.jpg|ART-0496-TS-color7-women.jpg|ART-0496-HD-color8.jpg|ART-0496-HD-color8-men.jpg|ART-0496-HD-color8-women.jpg|ART-0496-HD-color2.jpg|ART-0496-HD-color2-men.jpg|ART-0496-HD-color2-women.jpg|ART-0496-HD-color5.jpg|ART-0496-HD-color5-men.jpg|ART-0496-HD-color5-women.jpg|ART-0496-HD-color9.jpg|ART-0496-HD-color9-men.jpg|ART-0496-HD-color9-women.jpg|ART-0496-HD-color10.jpg|ART-0496-HD-color10-men.jpg|ART-0496-HD-color10-women.jpg,تیشرت|هودی,تیشرت,1|1|1,خانم‌ها|آقایان,آقایان,2|1|1,سفید|مشکی|خاکستری|آبی|زرشکی|زرد|سبز خاکی|ملانژ|نارنجی|سرمه‌ای,خاکستری,3|1|1,M|L|XL|2XL|3XL|M|L|XL,L,4|1|1,۱۰۰ درصد نخ پنبه,5|1|0,چاپ دیجیتال با دوام جوهرافشان با استفاده از تکنولوژی مدرن DTG,6|1|0,جهت شست و شو لباس را پشت و رو کرده و با آب زیر ۴۰ درجه بشویید، ترجیحا از پودر صابون جهت شست‌ و شو استفاده کنید,7|1|0,تیشرت,8|1|0,4.2,7,7,instock,<img src='https://artshirt.ir/wp-content/uploads/sizechart/TS-Size-Chart.jpg' style='display: block;margin-left: auto;margin-right: auto;'/>,<ul><li><span style='font-size: 12px; color: #808080;'>جنس  ۱۰۰ درصد نخ پنبه</span></li><li><span style='font-size: 12px; color: #808080;'>چاپ دیجیتال با دوام با استفاده از تکنولوژی مدرن DTG</span></li></ul>
ART-0497-TS,ART-0497-TS,من ریاضیم خوبه,publish,product,product,variable,کار و تحصیل>مهندس,#فان,120000,,120000,no,instock,ART-0497-TS-color1.jpg|ART-0497-TS-color1-men.jpg|ART-0497-TS-color1-women.jpg|ART-0497-TS-color2.jpg|ART-0497-TS-color2-men.jpg|ART-0497-TS-color2-women.jpg|ART-0497-TS-color3.jpg|ART-0497-TS-color3-men.jpg|ART-0497-TS-color3-women.jpg|ART-0497-TS-color4.jpg|ART-0497-TS-color4-men.jpg|ART-0497-TS-color4-women.jpg|ART-0497-TS-color5.jpg|ART-0497-TS-color5-men.jpg|ART-0497-TS-color5-women.jpg|ART-0497-TS-color6.jpg|ART-0497-TS-color6-men.jpg|ART-0497-TS-color6-women.jpg|ART-0497-TS-color7.jpg|ART-0497-TS-color7-men.jpg|ART-0497-TS-color7-women.jpg|ART-0497-HD-color8.jpg|ART-0497-HD-color8-men.jpg|ART-0497-HD-color8-women.jpg|ART-0497-HD-color2.jpg|ART-0497-HD-color2-men.jpg|ART-0497-HD-color2-women.jpg|ART-0497-HD-color5.jpg|ART-0497-HD-color5-men.jpg|ART-0497-HD-color5-women.jpg|ART-0497-HD-color9.jpg|ART-0497-HD-color9-men.jpg|ART-0497-HD-color9-women.jpg|ART-0497-HD-color10.jpg|ART-0497-HD-color10-men.jpg|ART-0497-HD-color10-women.jpg,تیشرت|هودی,تیشرت,1|1|1,خانم‌ها|آقایان,آقایان,2|1|1,سفید|مشکی|خاکستری|آبی|زرشکی|زرد|سبز خاکی|ملانژ|نارنجی|سرمه‌ای,سبز خاکی,3|1|1,M|L|XL|2XL|3XL|M|L|XL,L,4|1|1,۱۰۰ درصد نخ پنبه,5|1|0,چاپ دیجیتال با دوام جوهرافشان با استفاده از تکنولوژی مدرن DTG,6|1|0,جهت شست و شو لباس را پشت و رو کرده و با آب زیر ۴۰ درجه بشویید، ترجیحا از پودر صابون جهت شست‌ و شو استفاده کنید,7|1|0,تیشرت,8|1|0,4.2,3,3,instock,<img src='https://artshirt.ir/wp-content/uploads/sizechart/TS-Size-Chart.jpg' style='display: block;margin-left: auto;margin-right: auto;'/>,<ul><li><span style='font-size: 12px; color: #808080;'>جنس  ۱۰۰ درصد نخ پنبه</span></li><li><span style='font-size: 12px; color: #808080;'>چاپ دیجیتال با دوام با استفاده از تکنولوژی مدرن DTG</span></li></ul>
ART-0498-TS,ART-0498-TS,تهدید یک عکاس,publish,product,product,variable,کار و تحصیل>عکاس,#تایپوگرافی,120000,,120000,no,instock,ART-0498-TS-color1.jpg|ART-0498-TS-color1-men.jpg|ART-0498-TS-color1-women.jpg|ART-0498-TS-color2.jpg|ART-0498-TS-color2-men.jpg|ART-0498-TS-color2-women.jpg|ART-0498-TS-color3.jpg|ART-0498-TS-color3-men.jpg|ART-0498-TS-color3-women.jpg|ART-0498-TS-color4.jpg|ART-0498-TS-color4-men.jpg|ART-0498-TS-color4-women.jpg|ART-0498-TS-color5.jpg|ART-0498-TS-color5-men.jpg|ART-0498-TS-color5-women.jpg|ART-0498-TS-color6.jpg|ART-0498-TS-color6-men.jpg|ART-0498-TS-color6-women.jpg|ART-0498-TS-color7.jpg|ART-0498-TS-color7-men.jpg|ART-0498-TS-color7-women.jpg|ART-0498-HD-color8.jpg|ART-0498-HD-color8-men.jpg|ART-0498-HD-color8-women.jpg|ART-0498-HD-color2.jpg|ART-0498-HD-color2-men.jpg|ART-0498-HD-color2-women.jpg|ART-0498-HD-color5.jpg|ART-0498-HD-color5-men.jpg|ART-0498-HD-color5-women.jpg|ART-0498-HD-color9.jpg|ART-0498-HD-color9-men.jpg|ART-0498-HD-color9-women.jpg|ART-0498-HD-color10.jpg|ART-0498-HD-color10-men.jpg|ART-0498-HD-color10-women.jpg,تیشرت|هودی,تیشرت,1|1|1,خانم‌ها|آقایان,خانم‌ها,2|1|1,سفید|مشکی|خاکستری|آبی|زرشکی|زرد|سبز خاکی|ملانژ|نارنجی|سرمه‌ای,زرشکی,3|1|1,M|L|XL|2XL|3XL|M|L|XL,L,4|1|1,۱۰۰ درصد نخ پنبه,5|1|0,چاپ دیجیتال با دوام جوهرافشان با استفاده از تکنولوژی مدرن DTG,6|1|0,جهت شست و شو لباس را پشت و رو کرده و با آب زیر ۴۰ درجه بشویید، ترجیحا از پودر صابون جهت شست‌ و شو استفاده کنید,7|1|0,تیشرت,8|1|0,4.8,9,9,instock,<img src='https://artshirt.ir/wp-content/uploads/sizechart/TS-Size-Chart.jpg' style='display: block;margin-left: auto;margin-right: auto;'/>,<ul><li><span style='font-size: 12px; color: #808080;'>جنس  ۱۰۰ درصد نخ پنبه</span></li><li><span style='font-size: 12px; color: #808080;'>چاپ دیجیتال با دوام با استفاده از تکنولوژی مدرن DTG</span></li></ul>
ART-0499-TS,ART-0499-TS,پایتون,publish,product,product,variable,کار و تحصیل>برنامه‌نویس,#python,120000,,120000,no,instock,ART-0499-TS-color1.jpg|ART-0499-TS-color1-men.jpg|ART-0499-TS-color1-women.jpg|ART-0499-TS-color2.jpg|ART-0499-TS-color2-men.jpg|ART-0499-TS-color2-women.jpg|ART-0499-TS-color3.jpg|ART-0499-TS-color3-men.jpg|ART-0499-TS-color3-women.jpg|ART-0499-TS-color4.jpg|ART-0499-TS-color4-men.jpg|ART-0499-TS-color4-women.jpg|ART-0499-TS-color5.jpg|ART-0499-TS-color5-men.jpg|ART-0499-TS-color5-women.jpg|ART-0499-TS-color6.jpg|ART-0499-TS-color6-men.jpg|ART-0499-TS-color6-women.jpg|ART-0499-TS-color7.jpg|ART-0499-TS-color7-men.jpg|ART-0499-TS-color7-women.jpg|ART-0499-HD-color8.jpg|ART-0499-HD-color8-men.jpg|ART-0499-HD-color8-women.jpg|ART-0499-HD-color2.jpg|ART-0499-HD-color2-men.jpg|ART-0499-HD-color2-women.jpg|ART-0499-HD-color5.jpg|ART-0499-HD-color5-men.jpg|ART-0499-HD-color5-women.jpg|ART-0499-HD-color9.jpg|ART-0499-HD-color9-men.jpg|ART-0499-HD-color9-women.jpg|ART-0499-HD-color10.jpg|ART-0499-HD-color10-men.jpg|ART-0499-HD-color10-women.jpg,تیشرت|هودی,تیشرت,1|1|1,خانم‌ها|آقایان,خانم‌ها,2|1|1,سفید|مشکی|خاکستری|آبی|زرشکی|زرد|سبز خاکی|ملانژ|نارنجی|سرمه‌ای,خاکستری,3|1|1,M|L|XL|2XL|3XL|M|L|XL,L,4|1|1,۱۰۰ درصد نخ پنبه,5|1|0,چاپ دیجیتال با دوام جوهرافشان با استفاده از تکنولوژی مدرن DTG,6|1|0,جهت شست و شو لباس را پشت و رو کرده و با آب زیر ۴۰ درجه بشویید، ترجیحا از پودر صابون جهت شست‌ و شو استفاده کنید,7|1|0,تیشرت,8|1|0,4.5,6,6,instock,<img src='https://artshirt.ir/wp-content/uploads/sizechart/TS-Size-Chart.jpg' style='display: block;margin-left: auto;margin-right: auto;'/>,<ul><li><span style='font-size: 12px; color: #808080;'>جنس  ۱۰۰ درصد نخ پنبه</span></li><li><span style='font-size: 12px; color: #808080;'>چاپ دیجیتال با دوام با استفاده از تکنولوژی مدرن DTG</span></li></ul>
ART-0500-TS,ART-0500-TS,Linux is user friendly ...,publish,product,product,variable,کار و تحصیل>برنامه‌نویس,#فان|#لینوکس,120000,,120000,no,instock,ART-0500-TS-color1.jpg|ART-0500-TS-color1-men.jpg|ART-0500-TS-color1-women.jpg|ART-0500-TS-color2.jpg|ART-0500-TS-color2-men.jpg|ART-0500-TS-color2-women.jpg|ART-0500-TS-color3.jpg|ART-0500-TS-color3-men.jpg|ART-0500-TS-color3-women.jpg|ART-0500-TS-color4.jpg|ART-0500-TS-color4-men.jpg|ART-0500-TS-color4-women.jpg|ART-0500-TS-color5.jpg|ART-0500-TS-color5-men.jpg|ART-0500-TS-color5-women.jpg|ART-0500-TS-color6.jpg|ART-0500-TS-color6-men.jpg|ART-0500-TS-color6-women.jpg|ART-0500-TS-color7.jpg|ART-0500-TS-color7-men.jpg|ART-0500-TS-color7-women.jpg|ART-0500-HD-color8.jpg|ART-0500-HD-color8-men.jpg|ART-0500-HD-color8-women.jpg|ART-0500-HD-color2.jpg|ART-0500-HD-color2-men.jpg|ART-0500-HD-color2-women.jpg|ART-0500-HD-color5.jpg|ART-0500-HD-color5-men.jpg|ART-0500-HD-color5-women.jpg|ART-0500-HD-color9.jpg|ART-0500-HD-color9-men.jpg|ART-0500-HD-color9-women.jpg|ART-0500-HD-color10.jpg|ART-0500-HD-color10-men.jpg|ART-0500-HD-color10-women.jpg,تیشرت|هودی,تیشرت,1|1|1,خانم‌ها|آقایان,خانم‌ها,2|1|1,سفید|مشکی|خاکستری|آبی|زرشکی|زرد|سبز خاکی|ملانژ|نارنجی|سرمه‌ای,آبی,3|1|1,M|L|XL|2XL|3XL|M|L|XL,L,4|1|1,۱۰۰ درصد نخ پنبه,5|1|0,چاپ دیجیتال با دوام جوهرافشان با استفاده از تکنولوژی مدرن DTG,6|1|0,جهت شست و شو لباس را پشت و رو کرده و با آب زیر ۴۰ درجه بشویید، ترجیحا از پودر صابون جهت شست‌ و شو استفاده کنید,7|1|0,تیشرت,8|1|0,4.3,10,10,instock,<img src='https://artshirt.ir/wp-content/uploads/sizechart/TS-Size-Chart.jpg' style='display: block;margin-left: auto;margin-right: auto;'/>,<ul><li><span style='font-size: 12px; color: #808080;'>جنس  ۱۰۰ درصد نخ پنبه</span></li><li><span style='font-size: 12px; color: #808080;'>چاپ دیجیتال با دوام با استفاده از تکنولوژی مدرن DTG</span></li></ul>
ART-0501-TS,ART-0501-TS,Choose your answer,publish,product,product,variable,کار و تحصیل>برنامه‌نویس,,120000,,120000,no,instock,ART-0501-TS-color1.jpg|ART-0501-TS-color1-men.jpg|ART-0501-TS-color1-women.jpg|ART-0501-TS-color2.jpg|ART-0501-TS-color2-men.jpg|ART-0501-TS-color2-women.jpg|ART-0501-TS-color3.jpg|ART-0501-TS-color3-men.jpg|ART-0501-TS-color3-women.jpg|ART-0501-TS-color4.jpg|ART-0501-TS-color4-men.jpg|ART-0501-TS-color4-women.jpg|ART-0501-TS-color5.jpg|ART-0501-TS-color5-men.jpg|ART-0501-TS-color5-women.jpg|ART-0501-TS-color6.jpg|ART-0501-TS-color6-men.jpg|ART-0501-TS-color6-women.jpg|ART-0501-TS-color7.jpg|ART-0501-TS-color7-men.jpg|ART-0501-TS-color7-women.jpg|ART-0501-HD-color8.jpg|ART-0501-HD-color8-men.jpg|ART-0501-HD-color8-women.jpg|ART-0501-HD-color2.jpg|ART-0501-HD-color2-men.jpg|ART-0501-HD-color2-women.jpg|ART-0501-HD-color5.jpg|ART-0501-HD-color5-men.jpg|ART-0501-HD-color5-women.jpg|ART-0501-HD-color9.jpg|ART-0501-HD-color9-men.jpg|ART-0501-HD-color9-women.jpg|ART-0501-HD-color10.jpg|ART-0501-HD-color10-men.jpg|ART-0501-HD-color10-women.jpg,تیشرت|هودی,تیشرت,1|1|1,خانم‌ها|آقایان,آقایان,2|1|1,سفید|مشکی|خاکستری|آبی|زرشکی|زرد|سبز خاکی|ملانژ|نارنجی|سرمه‌ای,زرشکی,3|1|1,M|L|XL|2XL|3XL|M|L|XL,L,4|1|1,۱۰۰ درصد نخ پنبه,5|1|0,چاپ دیجیتال با دوام جوهرافشان با استفاده از تکنولوژی مدرن DTG,6|1|0,جهت شست و شو لباس را پشت و رو کرده و با آب زیر ۴۰ درجه بشویید، ترجیحا از پودر صابون جهت شست‌ و شو استفاده کنید,7|1|0,تیشرت,8|1|0,4.7,9,9,instock,<img src='https://artshirt.ir/wp-content/uploads/sizechart/TS-Size-Chart.jpg' style='display: block;margin-left: auto;margin-right: auto;'/>,<ul><li><span style='font-size: 12px; color: #808080;'>جنس  ۱۰۰ درصد نخ پنبه</span></li><li><span style='font-size: 12px; color: #808080;'>چاپ دیجیتال با دوام با استفاده از تکنولوژی مدرن DTG</span></li></ul>
ART-0502-TS,ART-0502-TS,DEVOPS,publish,product,product,variable,کار و تحصیل>برنامه‌نویس,#دواپس|#تایپوگرافی,120000,,120000,no,instock,ART-0502-TS-color1.jpg|ART-0502-TS-color1-men.jpg|ART-0502-TS-color1-women.jpg|ART-0502-TS-color2.jpg|ART-0502-TS-color2-men.jpg|ART-0502-TS-color2-women.jpg|ART-0502-TS-color3.jpg|ART-0502-TS-color3-men.jpg|ART-0502-TS-color3-women.jpg|ART-0502-TS-color4.jpg|ART-0502-TS-color4-men.jpg|ART-0502-TS-color4-women.jpg|ART-0502-TS-color5.jpg|ART-0502-TS-color5-men.jpg|ART-0502-TS-color5-women.jpg|ART-0502-TS-color6.jpg|ART-0502-TS-color6-men.jpg|ART-0502-TS-color6-women.jpg|ART-0502-TS-color7.jpg|ART-0502-TS-color7-men.jpg|ART-0502-TS-color7-women.jpg|ART-0502-HD-color8.jpg|ART-0502-HD-color8-men.jpg|ART-0502-HD-color8-women.jpg|ART-0502-HD-color2.jpg|ART-0502-HD-color2-men.jpg|ART-0502-HD-color2-women.jpg|ART-0502-HD-color5.jpg|ART-0502-HD-color5-men.jpg|ART-0502-HD-color5-women.jpg|ART-0502-HD-color9.jpg|ART-0502-HD-color9-men.jpg|ART-0502-HD-color9-women.jpg|ART-0502-HD-color10.jpg|ART-0502-HD-color10-men.jpg|ART-0502-HD-color10-women.jpg,تیشرت|هودی,تیشرت,1|1|1,خانم‌ها|آقایان,آقایان,2|1|1,سفید|مشکی|خاکستری|آبی|زرشکی|زرد|سبز خاکی|ملانژ|نارنجی|سرمه‌ای,سفید,3|1|1,M|L|XL|2XL|3XL|M|L|XL,L,4|1|1,۱۰۰ درصد نخ پنبه,5|1|0,چاپ دیجیتال با دوام جوهرافشان با استفاده از تکنولوژی مدرن DTG,6|1|0,جهت شست و شو لباس را پشت و رو کرده و با آب زیر ۴۰ درجه بشویید، ترجیحا از پودر صابون جهت شست‌ و شو استفاده کنید,7|1|0,تیشرت,8|1|0,5.0,4,4,instock,<img src='https://artshirt.ir/wp-content/uploads/sizechart/TS-Size-Chart.jpg' style='display: block;margin-left: auto;margin-right: auto;'/>,<ul><li><span style='font-size: 12px; color: #808080;'>جنس  ۱۰۰ درصد نخ پنبه</span></li><li><span style='font-size: 12px; color: #808080;'>چاپ دیجیتال با دوام با استفاده از تکنولوژی مدرن DTG</span></li></ul>
